Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
155,Yogi Ferrell,PG,27,LAC,8,0,12,1.5,4.5,0.333,0.8,2.4,0.316,0.8,2.1,0.353,0.417,0.9,0.9,1,0.3,1.3,1.5,2.1,0.5,0.3,0,0.9,4.6
156,Dorian Finney-Smith,PF,27,DAL,60,60,32,3.7,7.8,0.472,2,5,0.394,1.7,2.7,0.616,0.6,0.5,0.7,0.756,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8
157,Malik Fitts,PF,23,LAC,3,0,3.7,0.3,1,0.333,0.3,0.7,0.5,0,0.3,0,0.5,0,0,,0,1,1,0,0,0,0,1,1
158,Malachi Flynn,PG,22,TOR,47,14,19.7,2.7,7.2,0.374,1.1,3.6,0.321,1.6,3.7,0.424,0.453,1,1.2,0.804,0.2,2.3,2.5,2.9,0.8,0.1,0.9,1.4,7.5
159,Bryn Forbes,SG,27,MIL,70,10,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0,0.6,1.1,10
160,Trent Forrest,PG,22,UTA,30,0,10.1,1.1,2.4,0.451,0.2,0.9,0.192,0.9,1.5,0.6,0.486,0.6,0.6,1,0.4,1.1,1.5,1.5,0.3,0.1,0.7,0.7,2.9
161,Evan Fournier,SF-SG,28,TOT,42,36,30,5.9,12.9,0.457,2.8,6.7,0.413,3.1,6.1,0.504,0.565,2.6,3.3,0.788,0.2,2.8,3,3.4,1.1,0.5,1.7,2.3,17.1
161,Evan Fournier,SF,28,ORL,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.7,7,0.536,0.56,3.8,4.7,0.797,0.2,2.7,2.9,3.7,1,0.3,2.1,2.1,19.7
161,Evan Fournier,SG,28,BOS,16,10,29.5,4.8,10.8,0.448,2.8,5.9,0.463,2.1,4.8,0.429,0.576,0.6,0.9,0.714,0.3,3,3.3,3.1,1.3,0.6,1.2,2.6,13
162,De'Aaron Fox,PG,23,SAC,58,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,7.3,13.6,0.539,0.523,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3,2.9,25.2
163,Robert Franks,PF,24,ORL,7,0,14.4,1.9,4,0.464,0.7,2.1,0.333,1.1,1.9,0.615,0.554,1.7,1.9,0.923,0.9,1.1,2,0.7,0.4,0.4,0.3,1.1,6.1
164,Tim Frazier,PG,30,MEM,5,0,12.4,0.6,4,0.15,0,1.6,0,0.6,2.4,0.25,0.15,0.4,1.2,0.333,0,1.6,1.6,3.2,0.4,0.2,0.8,1.4,1.6
165,Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9
166,Wenyen Gabriel,PF,23,NOP,21,0,11.5,1.1,2.9,0.4,0.6,1.5,0.406,0.5,1.3,0.393,0.508,0.5,0.8,0.647,1,1.6,2.6,0.5,0.4,0.4,0.7,1.5,3.4
167,Daniel Gafford,PF-C,22,TOT,54,11,14.6,2.9,4.2,0.684,0,0,,2.9,4.2,0.684,0.684,1.3,2,0.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7
167,Daniel Gafford,PF,22,CHI,31,11,12.4,1.9,2.8,0.69,0,0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
167,Daniel Gafford,C,22,WAS,23,0,17.7,4.1,6,0.681,0,0,,4.1,6,0.681,0.681,2,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1
168,Danilo Gallinari,PF,32,ATL,51,4,24,4,9.3,0.434,2,5,0.406,2,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3
169,Langston Galloway,SG,29,PHO,40,0,11,1.7,3.7,0.449,0.9,2.1,0.424,0.8,1.6,0.484,0.571,0.6,0.6,0.957,0.2,0.9,1.1,0.7,0.2,0,0.3,0.6,4.8
170,Darius Garland,PG,21,CLE,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,0.517,2.1,2.4,0.848,0.4,2,2.4,6.1,1.2,0.1,3,2,17.4
171,Marc Gasol,C,36,LAL,52,42,19.1,1.7,3.7,0.454,1,2.3,0.41,0.7,1.4,0.528,0.582,0.7,1,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1,2.2,5
172,Rudy Gay,PF,34,SAS,63,1,21.6,4.2,10,0.42,1.7,4.4,0.381,2.5,5.6,0.451,0.505,1.3,1.6,0.804,0.7,4.1,4.8,1.4,0.7,0.6,1,1.8,11.4
173,Paul George,SF,30,LAC,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3
174,Taj Gibson,PF,35,NYK,45,3,20.8,2.2,3.5,0.627,0.1,0.3,0.2,2.1,3.2,0.671,0.636,0.9,1.2,0.727,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4
175,Harry Giles,C,22,POR,38,0,9.2,1.1,2.6,0.433,0.2,0.6,0.348,0.9,1.9,0.459,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8
176,Shai Gilgeous-Alexander,SG,22,OKC,35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7
177,Anthony Gill,PF,28,WAS,26,4,8.4,1.2,2.3,0.5,0.3,0.9,0.292,0.9,1.4,0.639,0.558,0.5,0.6,0.813,0.6,1.3,2,0.4,0.4,0.2,0.3,1,3.1
178,Freddie Gillespie,PF,23,TOR,20,2,19.6,2.2,4.2,0.524,0,0,,2.2,4.2,0.524,0.524,1.2,1.7,0.697,2.1,2.8,4.9,0.5,0.7,1,0.6,2.2,5.6
179,Rudy Gobert,C,28,UTA,71,71,30.8,5.5,8.2,0.675,0,0.1,0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3
180,Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,0.377,0.7,2.2,0.311,1.1,2.6,0.433,0.448,0.6,0.9,0.651,0.2,1.3,1.5,2,0.4,0,0.8,0.9,4.9
181,Aaron Gordon,PF,25,TOT,50,50,27.7,4.6,10,0.463,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4
181,Aaron Gordon,PF,25,ORL,25,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2,14.6
181,Aaron Gordon,PF,25,DEN,25,25,25.9,4.1,8.2,0.5,0.7,2.6,0.266,3.4,5.7,0.606,0.541,1.2,1.8,0.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2
182,Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
183,Devonte' Graham,PG,25,CHO,55,44,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8
184,Jerami Grant,SF,26,DET,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4,4.6,2.8,0.6,1.1,2,2.3,22.3
185,Danny Green,SF,33,PHI,69,69,28,3.2,7.9,0.412,2.5,6.3,0.405,0.7,1.6,0.438,0.573,0.4,0.6,0.775,0.8,3,3.8,1.7,1.3,0.8,1,1.8,9.5
186,Draymond Green,PF,30,GSW,63,63,31.5,2.7,6,0.447,0.5,2,0.27,2.2,4,0.535,0.492,1.1,1.4,0.795,0.9,6.3,7.1,8.9,1.7,0.8,3,3.1,7
187,JaMychal Green,PF,30,DEN,58,5,19.3,3,6.4,0.463,1.4,3.4,0.399,1.6,3,0.534,0.568,0.8,1,0.807,1.5,3.3,4.8,0.9,0.4,0.4,0.9,2.5,8.1
188,Javonte Green,SG-PG,27,TOT,41,2,11.5,1.3,2.5,0.52,0.2,0.7,0.333,1,1.8,0.597,0.569,0.7,1,0.75,0.6,1.1,1.7,0.4,0.7,0.1,0.5,1.1,3.6
188,Javonte Green,SG,27,BOS,25,2,13.8,1.6,2.8,0.549,0.3,0.9,0.318,1.3,2,0.653,0.599,0.8,1.2,0.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2
188,Javonte Green,PG,27,CHI,16,0,8,0.9,1.9,0.452,0.2,0.5,0.375,0.7,1.4,0.478,0.5,0.6,0.6,1,0.4,0.8,1.2,0.4,0.6,0.3,0.4,0.8,2.6
189,Jeff Green,C,34,BRK,68,38,27,3.8,7.8,0.492,1.5,3.7,0.412,2.3,4.1,0.564,0.59,1.8,2.4,0.776,0.5,3.4,3.9,1.6,0.5,0.4,0.8,1.8,11
190,Josh Green,SG,20,DAL,39,5,11.4,1.1,2.4,0.452,0.1,0.6,0.16,1,1.7,0.559,0.473,0.3,0.6,0.565,0.7,1.3,2,0.7,0.4,0.1,0.4,0.9,2.6
191,Blake Griffin,PF,31,TOT,46,30,25.8,3.8,8.9,0.423,1.5,4.5,0.341,2.3,4.5,0.505,0.509,1.9,2.5,0.744,0.8,4.1,4.9,3,0.7,0.3,1.3,2.4,11
191,Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
191,Blake Griffin,PF,31,BRK,26,10,21.5,3.6,7.3,0.492,1.2,3.1,0.383,2.4,4.2,0.574,0.574,1.7,2.1,0.782,1.1,3.6,4.7,2.4,0.7,0.5,1.2,2.7,10
192,Kyle Guy,PG,23,SAC,31,0,7.6,0.9,2.8,0.33,0.4,1.5,0.283,0.5,1.4,0.381,0.403,0.5,0.6,0.8,0.2,1,1.1,1,0.2,0,0.4,0.6,2.8
193,Rui Hachimura,PF,22,WAS,57,57,31.5,5.4,11.4,0.478,0.8,2.4,0.328,4.6,9,0.519,0.513,2.2,2.8,0.77,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.8
194,Ashton Hagans,PG,21,MIN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0.5,0,0
195,Tyrese Haliburton,PG,20,SAC,58,20,30.1,5,10.7,0.472,2.1,5.1,0.409,2.9,5.6,0.529,0.569,0.8,1,0.857,0.7,2.3,3,5.3,1.3,0.5,1.6,1.4,13
196,Donta Hall,PF,23,ORL,13,0,13.8,1.9,2.7,0.714,0,0,,1.9,2.7,0.714,0.714,1.8,2.6,0.676,1.8,2.9,4.8,0.8,0.4,0.8,0.6,1.4,5.6
197,Josh Hall,SF,20,OKC,21,1,16,1.4,4.7,0.303,0.2,1.8,0.108,1.2,3,0.419,0.323,1,2.1,0.5,0.3,2.5,2.8,1.3,0.2,0,1.2,1.8,4.1
198,R.J. Hampton,SG-PG,19,TOT,51,1,17.4,2.7,6.1,0.435,0.5,1.7,0.31,2.1,4.4,0.482,0.478,1.1,1.6,0.671,0.6,2.9,3.5,1.7,0.4,0.2,1,1.2,6.9
198,R.J. Hampton,PG,19,DEN,25,0,9.3,1,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2,0.6,0.2,0.1,0.4,0.9,2.6
198,R.J. Hampton,SG,19,ORL,26,1,25.2,4.3,9.7,0.439,0.8,2.7,0.319,3.4,7.1,0.484,0.482,1.8,2.7,0.657,0.7,4.2,5,2.8,0.6,0.3,1.6,1.5,11.2
199,Tim Hardaway Jr.,SG,28,DAL,70,31,28.4,5.8,13,0.447,3,7.6,0.391,2.9,5.5,0.524,0.56,2,2.5,0.816,0.3,3,3.3,1.8,0.4,0.2,0.9,1.6,16.6
200,James Harden,PG-SG,31,TOT,44,43,36.6,7.8,16.7,0.466,2.8,7.6,0.362,5,9.1,0.553,0.548,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4,2.3,24.6
200,James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9,0.347,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
200,James Harden,PG,31,BRK,36,35,36.6,7.8,16.6,0.471,2.7,7.3,0.366,5.2,9.4,0.552,0.551,6.3,7.3,0.856,0.8,7.7,8.5,10.9,1.3,0.8,4,2.4,24.6
201,Maurice Harkless,PF-SF,27,TOT,37,23,20.9,1.9,4.5,0.418,0.6,2.3,0.274,1.2,2.2,0.568,0.488,0.9,1.2,0.767,0.4,2.1,2.4,1.2,0.8,0.5,0.6,2.3,5.2
201,Maurice Harkless,SF,27,MIA,11,3,11.3,0.5,1.2,0.385,0.5,1,0.455,0,0.2,0,0.577,0,0.2,0,0.2,1,1.2,0.6,0.2,0.4,0.3,1.3,1.4
201,Maurice Harkless,PF,27,SAC,26,20,24.9,2.5,5.8,0.421,0.7,2.8,0.247,1.8,3,0.582,0.48,1.3,1.6,0.805,0.4,2.5,2.9,1.4,1.1,0.6,0.7,2.8,6.9
202,Jared Harper,PG,23,NYK,8,0,2,0,0.5,0,0,0.1,0,0,0.4,0,0,0.4,0.5,0.75,0,0.3,0.3,0.1,0,0,0.4,0.1,0.4
203,Montrezl Harrell,C,27,LAL,69,1,22.9,5.4,8.7,0.622,0,0.1,0,5.4,8.6,0.632,0.622,2.6,3.7,0.707,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5
204,Gary Harris,SG,26,TOT,39,38,27.7,3.5,8.8,0.4,1.2,3.6,0.34,2.3,5.2,0.441,0.47,1.6,2,0.821,0.5,1.5,2,2,0.7,0.3,0.9,1.8,9.9
204,Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
204,Gary Harris,SG,26,ORL,20,19,25,3.5,9.5,0.365,1.2,3.3,0.364,2.3,6.2,0.366,0.429,2.1,2.4,0.875,0.4,1.2,1.6,2.3,0.6,0.4,1.2,1.7,10.2
205,Jalen Harris,SG,22,TOR,13,2,13.2,2.8,5.5,0.5,1.3,2.8,0.472,1.5,2.8,0.528,0.618,0.5,0.7,0.778,0.2,1.2,1.4,1.3,0.6,0,1.1,1.2,7.4
206,Joe Harris,SF,29,BRK,69,65,31,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3,3.6,1.9,0.7,0.2,0.9,2,14.1
207,Tobias Harris,PF,28,PHI,62,62,32.5,7.6,14.9,0.512,1.3,3.4,0.394,6.3,11.5,0.546,0.556,2.9,3.3,0.892,1,5.8,6.8,3.5,0.9,0.8,1.7,1.9,19.5
208,Shaquille Harrison,SG,27,TOT,34,0,9.8,0.8,2.3,0.333,0.1,0.5,0.188,0.7,1.8,0.371,0.353,0.5,0.6,0.818,0.2,1.2,1.4,0.7,0.5,0.1,0.3,1,2.1
208,Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,0.3,0,0.1,0,0.4,1.1,0.333,0.3,0.3,0.4,0.833,0.2,0.4,0.5,0.5,0.1,0,0.3,0.2,1
208,Shaquille Harrison,SG,27,DEN,17,0,16.3,1.2,3.4,0.345,0.2,0.8,0.214,1,2.6,0.386,0.371,0.8,0.9,0.813,0.2,2.1,2.3,0.9,0.9,0.3,0.4,1.8,3.3
209,Josh Hart,SF,25,NOP,47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2
210,Isaiah Hartenstein,C,22,TOT,46,2,12.2,2,3.7,0.55,0,0.1,0.333,2,3.6,0.558,0.556,1,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1,2.3,5.1
210,Isaiah Hartenstein,C,22,DEN,30,0,9.1,1.4,2.7,0.513,0,0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2,3.5
210,Isaiah Hartenstein,C,22,CLE,16,2,17.9,3.3,5.7,0.582,0.1,0.4,0.333,3.2,5.3,0.6,0.593,1.5,2.2,0.686,1.6,4.4,6,2.5,0.5,1.2,1.4,2.8,8.3
211,Udonis Haslem,C,40,MIA,1,0,3,2,2,1,0,0,,2,2,1,1,0,0,,0,1,1,0,0,0,0,0,4
212,Jaxson Hayes,C,20,NOP,60,3,16.1,2.9,4.7,0.625,0.1,0.2,0.429,2.8,4.4,0.635,0.636,1.6,2,0.775,1.5,2.8,4.3,0.6,0.4,0.6,0.7,1.7,7.5
213,Killian Hayes,PG,19,DET,26,18,25.8,2.7,7.7,0.353,0.8,2.8,0.278,2,5,0.395,0.403,0.5,0.7,0.824,0.2,2.4,2.7,5.3,1,0.4,3.2,2.2,6.8
214,Gordon Hayward,SF,30,CHO,44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6
215,Juan Hernangómez,PF,25,MIN,52,6,17.3,2.5,5.8,0.435,1.1,3.2,0.327,1.4,2.5,0.573,0.527,1.2,1.9,0.619,0.9,3.1,3.9,0.7,0.4,0.1,0.5,1,7.2
216,Willy Hernangómez,C,26,NOP,47,12,18,3.2,5.7,0.563,0,0.2,0.1,3.2,5.5,0.581,0.565,1.3,2,0.667,2.5,4.6,7.1,1.1,0.5,0.5,0.7,1.4,7.8
217,Tyler Herro,SG,21,MIA,54,15,30.3,5.7,12.9,0.439,2,5.5,0.36,3.7,7.4,0.498,0.516,1.7,2.2,0.803,0.5,4.5,5,3.4,0.6,0.3,1.9,1.3,15.1
218,Buddy Hield,SG,28,SAC,71,71,34.3,5.7,14,0.406,4,10.2,0.391,1.7,3.8,0.446,0.548,1.2,1.5,0.846,0.4,4.3,4.7,3.6,0.9,0.4,1.8,2.5,16.6
219,George Hill,PG,34,TOT,30,17,22.4,3.2,6.6,0.482,1,2.7,0.388,2.1,3.9,0.547,0.561,1.3,1.7,0.8,0.5,1.5,2,2.4,0.8,0.2,1,1,8.7
219,George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
219,George Hill,PG,34,PHI,16,3,18.9,2.1,4.8,0.442,0.6,1.4,0.391,1.6,3.4,0.463,0.5,1.2,1.6,0.76,0.5,1.5,2,1.9,0.7,0.2,1.2,1.2,6
220,Solomon Hill,PF,29,ATL,71,16,21.3,1.5,4.2,0.359,1,3,0.321,0.5,1.2,0.453,0.473,0.5,0.6,0.761,0.6,2.4,3,1.1,0.7,0.2,0.6,1.6,4.5
221,Nate Hinton,SG,21,DAL,21,0,4.4,0.7,2,0.357,0.2,0.9,0.211,0.5,1.1,0.478,0.405,0.3,0.5,0.7,0,0.4,0.4,0.4,0.3,0.1,0.2,0.4,2
222,Jaylen Hoard,SF,21,OKC,19,0,16.8,2.3,4.6,0.5,0,0.6,0,2.3,4.1,0.571,0.5,1.5,2.2,0.683,1.1,2.3,3.4,1.3,0.7,0.3,0.9,1,6.1
223,Aaron Holiday,PG,24,IND,66,8,17.8,2.6,6.6,0.39,1,2.8,0.368,1.6,3.8,0.406,0.467,1,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1,1.4,7.2
224,Jrue Holiday,PG,30,MIL,59,56,32.3,7,13.9,0.503,1.9,4.8,0.392,5.1,9.2,0.561,0.57,1.8,2.3,0.787,1.2,3.3,4.5,6.1,1.6,0.6,2.2,1.7,17.7
225,Justin Holiday,SG,31,IND,72,52,30.3,3.6,8.7,0.413,2.4,6.3,0.382,1.2,2.4,0.494,0.551,0.9,1.2,0.788,0.4,3.1,3.6,1.7,1,0.6,0.8,1.9,10.5
226,Rondae Hollis-Jefferson,PF,26,POR,11,1,9.7,0.8,1.6,0.5,0,0.1,0,0.8,1.5,0.529,0.5,0.8,1.5,0.563,1,1.4,2.4,1.2,0.2,0.4,0.2,1.4,2.5
227,Richaun Holmes,C,27,SAC,61,61,29.2,6,9.4,0.637,0,0.2,0.182,6,9.2,0.645,0.638,2.2,2.8,0.794,2.4,5.9,8.3,1.7,0.6,1.6,1.2,3.5,14.2
228,Rodney Hood,SF,28,TOT,55,5,17.1,1.7,4.7,0.362,0.6,2.1,0.301,1.1,2.7,0.408,0.427,0.4,0.5,0.857,0.4,1.5,1.9,1,0.4,0.1,0.7,1.3,4.5
228,Rodney Hood,SF,28,POR,38,5,19.1,1.9,5.3,0.363,0.7,2.2,0.298,1.3,3.1,0.41,0.425,0.2,0.3,0.75,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
228,Rodney Hood,SF,28,TOR,17,0,12.7,1.2,3.5,0.356,0.5,1.7,0.31,0.7,1.8,0.4,0.432,0.9,0.9,0.938,0.3,1.5,1.8,0.4,0.2,0.2,0.3,0.9,3.9
